Country,Ethnicity,years,notes
Afghanistan,"Pashtun 42%, Tajik 27%, Hazara 9%, Uzbek 9%, Aimaks 4%, Turkmen 3%, Baloch 2%, others 4%",,
Albania,"Albanian 95%, Greeks 3%, other(Vlachs; Gypsies; Serbs;Bulgarians) 2%",(1989 est.),
Algeria,"Arab-Berber 99%, European 1%",,
Andorra,"Spanish 43%, Andorran 33%, Portuguese 11%, French 7%, other 6%", (1998),
Angola,"Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and Native African) 2%, European 1%, other 22%",,
Antigua and Barbuda,"black, British, Portuguese, Lebanese, Syrian",,
Argentina,"white (mostly Spanish and Italian) 97%, mestizo, Amerindian, other 3%",,
Armenia,"Armenian 97.9%, Russian 0.5%, Kurds 1.3%, other 0.3%", (2001),
Australia,"Caucasian 92%, Asian 7%, aboriginal and other 1%",,
Austria,"Austrians 91.1%, former Yugoslavs (includes Croatians; Slovenes; Serbs; Bosniaks) 4%, Turks 1.6%, German 0.9%, other or unspecified 2.4%", (2001),
Azerbaijan,"Azeri 90.6%, Dagestani 2.2%, Russian 1.8%, Armenian 1.5%, other 3.9%",1999,Note: almost all Armenians live in the separatist Nagorno-Karabakh region
Bahamas,"black 85%, white 12%, Asian and Hispanic 3%",,
Bahrain,"Bahraini 62.4%, non-Bahraini 37.6%", (2001),
Bangladesh,"Bengali 98%, tribal groups, non-Bengali Muslims", (1998),
Barbados,"black 90%, white 4%, Asian and mixed 6%",,
Belarus,"Belorussian 81.2%, Russian 11.4%, Polish 3.9%, Ukrainian 2.4%, other 1.1%", (1999),
Belgium,"Fleming 58%, Walloon 31%, mixed or other 11%",,
Belize,"mestizo 48.7%, Creole 24.9%, Maya 10.6%, Garifuna 6.1%, other 9.7%",,
Benin,African 99%,," (42 ethnic groups, most important being Fon, Adja, Yoruba, Bariba), Europeans 5,500"
Bhutan,"Bhote 50%, ethnic Nepalese 35%, indigenous or migrant tribes 15%",,
Bolivia,"Quechua 30%, mestizo 30%, Aymara 25%, white 15%",,
Bosnia and Herzegovina,"Bosniak 48%, Serb 37.1%, Croat 14.3%, other 0.6%", (2000),
Botswana,"Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other (including Kgalagadi and white) 7%",,
Brazil,"white 53.7%, mulatto (mixed white and black) 38.5%, black 6.2%, other (includes Japanese; Arab; Amerindian) 0.9%, unspecified 0.7%", (2000),
Brunei,"Malay 67%, Chinese 15%, indigenous 6%, other 12%",,
Bulgaria,"Bulgarian 83.9%, Turk 9.4%, Roma 4.7%, other (including Macedonian; Armenian; Tatar; Circassian) 2%", (2001),
Burkina Faso,"Mossi (over 40%), Gurunsi, Senufo, Lobi, Bobo, Mande, Fulani",,
Burundi,"Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%",,
Cambodia,"Khmer 90%, Vietnamese 5%, Chinese 1%, other 4%",,
Cameroon,"Cameroon Highlanders 31%, Equatorial Bantu 19%, Kirdi 11%, Fulani 10%, Northwest Bantu 8%, Eastern Nigritic 7%, other African 13%, non-African less than 1%",,
Canada,"British Isles origin 28%, French origin 23%, other European 15%, indigenous Indian and Inuit 2%, other (mostly Asian; African; Arab) 6%, mixed background 26%",,
Cape Verde,"Creole (mulatto) 71%, African 28%, European 1%",,
Central African Republic,"Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2%",,
Chad,"200 distinct groups. North and center - mostly Muslim: Arabs; Gorane (Toubou; Daza; Kreda); Zaghawa; Kanembou; Ouaddai; Baguirmi; Hadjerai; Fulbe; Kotoko; Hausa; Boulala; Maba, South - mostly Christian or animist: Sara (Ngambaye; Mbaye; Goulaye); Moundang; Moussei; Massa",,
Chile,"white and white-Amerindian 95%, Amerindian 3%, other 2%",,
China,"Han Chinese 91.9%, Zhuang; Uygur; Hui; Yi; Tibetan; Miao; Manchu; Mongol; Buyi; Korean and other nationalities 8.1%",,
Colombia,"mestizo 58%, white 20%, mulatto 14%, black 4%, mixed black-Amerindian 3%, Amerindian 1%",,
Comoros,"Antalote, Cafre, Makoa, Oimatsaha, Sakalava",,
"Congo, Democratic Republic of the",Mongo (Bantu); Luba(Bantu); Kongo (Bantu); Mangbetu-Azande (Hamitic) 45%,,
"Congo, Republic of","Kongo 48%, Sangha 20%, M'Bochi 12%, Teke 17%, Europeans and other 3%",,
Costa Rica,"white (including mestizo) 94%, black 3%, Amerindian 1%, Chinese 1%, other 1%",,
Côte d'Ivoire,"Akan 42.1%, Voltaiques (Gur) 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other (includes 130,000 Lebanese and 14,000 French) 2.8%",(1998),
Croatia,"Croat 89.6%, Serb 4.5%, Bosniak 0.5%, Hungarian 0.4%, Slovene 0.3%, Czech 0.2%, Roma 0.2%, Albanian 0.1%, Montenegrin 0.1%, others 4.1%", (2001),
Cuba,"mulatto 51%, white 37%, black 11%, Chinese 1%",,
Cyprus,"Greek 77%, Turkish (each concentrated almost exclusively in separate areas) 18%, other 5%", (2001),
Czech Republic,"Czech 90.4%, Moravian 3.7%, Slovak 1.9%, other 4%", (2001),
Denmark,"Scandinavian, Inuit, Faroese, German, Turkish, Iranian, Somali",,
Djibouti,"Somali 60%, Afar 35%, French; Arab; Ethiopian; Italian 5%",,
Dominica,"black, mixed black and European, European, Syrian, Carib Amerindian",,
Dominican Republic,"white 16%, black 11%, mixed 73%",,
East Timor,"Austronesian (Malayo-Polynesian), Papuan, small Chinese minority",,
Ecuador,"mestizo (mixed Amerindian and white) 65%, Amerindian 25%, Spanish and others 7%, black 3%",,
Egypt,"Egyptian 98%, Berber; Nubian; Bedouin; Beja 1%, Greek; Armenian; other European (primarily Italian and French) 1%",,
El Salvador,"mestizo 90%, white 9%, Amerindian 1%",,
Equatorial Guinea,"Bioko (primarily Bubi; some Fernandinos), Río Muni (primarily Fang), less than 1,000 Europeans, mostly Spanish",,
Eritrea,"ethnic Tigrinya 50%, Tigre and Kunama 40%, Afar 4%, Saho (Red Sea coast dwellers) 3%, other 3%",,
Estonia,"Estonian 67.9%, Russian 25.6%, Ukrainian 2.1%, Belorussian 1.3%, Finn 0.9%, other 2.2%", (2000),
Ethiopia,"Oromo 40%, Amhara and Tigrean 32%, Sidamo 9%, Shankella 6%, Somali 6%, Afar 4%, Gurage 2%, other 1%",,
Fiji,"Fijian 51%, Indian 44%, European; other Pacific Islanders; overseas Chinese; and other 5%", (1998),
Finland,"Finn 93.4%, Swede 5.7%, Sami (Lapp) 0.1%, Roma 0.2%, Estonian 0.2%",,
France,Celtic and Latin with Teutonic, Slavic, North African
Gabon,"Bantu tribes including four major tribal groupings: Fang; Punu; Nzeiby; Mbede (Obamba/Bateke), other Africans and Europeans 10.8% including 0.8% French and 0.8% persons of dual nationality",,
Gambia,"Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%, non-African 1%",,African 99%
Georgia,"Georgian 83.8%, Azeri 6.5%, Armenian 5.7%, Russian 1.5%, other 2.5%", (2002),
Germany,"German 91.5%, Turkish 2.4%, Italian 0.7%, Greek 0.4%, Polish 0.4%, other 4.6%",,
Ghana,"Akan 44%, Moshi-Dagomba 16%, Ewe 13%, Ga 8%, Gurma 3%, Yoruba 1%, European and other 1.5%", (1998),black African 98.5% 
Greece,"Greek 98%, other 2%",,note: the Greek government states there are no ethnic divisions in Greece
Grenada,"black 82%, mixed black and European 13%, European and East Indian 5%, trace of Arawak/Carib Amerindian",,
Guatemala,"Mestizo (Ladino) - mixed Amerindian-Spanish ancestry - and European 59.4%, K'iche 9.1%, Kaqchikel 8.4%, Mam 7.9%, Q'eqchi 6.3%, other Mayan 8.6%, indigenous non-Mayan 0.2%, other 0.1%", (2001),
Guinea,"Peuhl 40%, Malinke 30%, Susu 20%, smaller tribes 10%",,
Guinea-Bissau,"Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%, European and mulatto less than 1%",,African 99%
Guyana,"East Indian 50%, black 36%, Amerindian 7%, white, Chinese, and mixed 7%",,
Haiti,"black 95%, mulatto and white 5%",,
Honduras,"mestizo 90%, Amerindian 7%, black 2%, white 1%",,
Hungary,"Hungarian 92.3%, Roma 1.9%, other or unknown 5.8%", (2001),
Iceland,"homogeneous mixture of Norse/Celtic descendants 94%, population of foreign origin 6%",,
India,"Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3%", (2000),
Indonesia,"Javanese 45%, Sundanese 14%, Madurese 7.5%, coastal Malays 7.5%, other 26%",,
