country_name,alpha_3_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,50.97956021,50.96511166,50.965608,50.98678989,51.01264269,51.02428649,51.03982531,51.03886707,51.04578858,51.06411959,51.09531065,51.14565459,51.19383783,51.27332492,51.32255027,51.354426,51.3501469,51.33518868,51.30112143,51.27226039,51.26046225,51.26071234,51.27891622,51.30438976,51.28768344,51.25349073,51.17088355,51.05921925,50.92350013,50.78236364,50.67093577,50.59189453,50.53487691,50.52486378,50.5677596,50.67974702,50.83462523,51.04037449,51.28208066,51.52063275,51.74542733,51.9409637,52.11596766,52.26560567,52.37381512,52.43931699,52.45958544,52.44304823,52.39537499,52.35185112,52.3287267,52.32925037,52.35216692,52.39179954,52.42830712,52.46552104,52.49034473,52.51278936,52.53103566
Afghanistan,AFG,48.32066184,48.41268889,48.49938651,48.58087434,48.65713636,48.72838533,48.79406457,48.8542718,48.9101692,48.96316905,49.0137783,49.06211957,49.10709848,49.14640502,49.17744841,49.19859969,49.21050169,49.21422299,49.20978991,49.1971179,49.17625875,49.14293007,49.09634126,49.0441812,48.99945151,48.97147846,48.97384387,49.00136481,49.02164812,48.98972295,48.88448251,48.70543054,48.49283869,48.30251455,48.17959738,48.13758326,48.17661431,48.27620071,48.40211432,48.50692685,48.55856535,48.54557266,48.48802081,48.41982797,48.38077189,48.39189758,48.45887298,48.56571503,48.68486832,48.77917109,48.8247576,48.815783,48.76711165,48.70007033,48.64132431,48.60704937,48.59966761,48.61161572,48.6358467
Angola,AGO,49.33562948,49.24125942,49.28980613,49.4060705,49.48718789,49.46517443,49.31620941,49.07050971,48.78383005,48.54285199,48.41062346,48.40734471,48.50189148,48.65190631,48.80784798,48.93825365,49.04015424,49.12451769,49.1965235,49.26497844,49.33518676,49.40650695,49.47557491,49.54143589,49.60321897,49.66043441,49.71326867,49.76233123,49.80828151,49.85197451,49.89404041,49.93474925,49.97404277,50.01239002,50.04996019,50.08702274,50.12378546,50.16025206,50.19568869,50.22928908,50.26055662,50.28867705,50.31419994,50.339357,50.36686477,50.39792928,50.43311619,50.47040568,50.50557633,50.53356148,50.55165755,50.55946452,50.55922781,50.55386372,50.54710022,50.54132816,50.53700649,50.53347665,50.53046293
Albania,ALB,48.59332397,48.59738802,48.60362266,48.61130891,48.61765987,48.62146163,48.62303603,48.622109,48.62088586,48.62173281,48.62617078,48.63476564,48.64577575,48.65766749,48.66702108,48.67205449,48.67226157,48.66908724,48.66443931,48.66082133,48.66032206,48.66855096,48.68604773,48.70375311,48.71001487,48.7001422,48.65848214,48.59598348,48.56103084,48.61455785,48.79120043,49.12435903,49.5929464,50.10784941,50.52674099,50.73742589,50.68214112,50.40362972,50.00515961,49.63525155,49.3965639,49.31854513,49.3652163,49.49222535,49.62898883,49.7223671,49.76459515,49.77269229,49.74764236,49.69606908,49.62505457,49.5302023,49.41094839,49.28452077,49.17337837,49.09379753,49.05299874,49.04639777,49.0630946
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,49.58476982,49.58500734,49.58701204,49.59017335,49.59361466,49.5964986,49.59851572,49.59922751,49.59776858,49.59318444,49.58467551,49.57319428,49.55860686,49.5382102,49.50885597,49.46934871,49.41874345,49.36020495,49.30125032,49.25072184,49.21365924,49.1916298,49.1810305,49.17544254,49.16678298,49.15001921,49.12490511,49.09424046,49.06032676,49.02632015,48.99743706,48.9666906,48.98708589,48.95989773,48.94572961,48.90352817,48.92312016,48.95447676,48.98703703,49.00761203,49.00748388,48.98604693,48.94698888,48.89199418,48.82396506,48.74618908,48.65806929,48.56231691,48.46875655,48.38895075,48.32989483,48.29452737,48.27895077,48.27477946,48.27087325,48.26013108,48.24041204,48.21524315,48.19032823
United Arab Emirates,ARE,49.93561791,48.25547366,46.14671043,44.11651882,42.49650486,41.32394648,40.5828265,40.05171764,39.36042055,38.18604353,36.58107048,34.87744312,33.36697203,32.13937282,31.21720287,30.57788234,30.10176729,29.76703515,29.67068742,29.89744052,30.4516791,31.32677124,32.41902584,33.53906567,34.45203521,35.01868369,35.22365399,35.16223396,34.94027293,34.68211878,34.46205694,34.27281911,34.08615748,33.90999639,33.75046908,33.60143828,33.43664993,33.23747708,33.00552322,32.74543169,32.44767901,32.21533632,32.01756138,31.62036148,30.80546343,29.61327939,28.16519917,26.76656217,25.71949504,25.19386493,25.19336262,25.68555965,26.56300354,27.66662811,28.74812979,29.60242671,30.1586213,30.48024887,30.63668795
Argentina,ARG,49.55996258,49.61261011,49.66821321,49.72491865,49.78019354,49.83262366,49.88100176,49.92680322,49.97439601,50.02940987,50.09514851,50.1728102,50.25962176,50.35018693,50.43755465,50.51703651,50.58749048,50.65056794,50.70818968,50.76310527,50.81729872,50.87033145,50.92148341,50.97161173,51.02187345,51.07268319,51.1251194,51.17824736,51.2282366,51.2701467,51.30106864,51.3193022,51.32707135,51.32993562,51.33534843,51.34809273,51.37007844,51.39870116,51.42873321,51.45289668,51.46639904,51.46794513,51.45981968,51.44504814,51.42799654,51.41181722,51.39720981,51.38337443,51.37008064,51.35665317,51.34274218,51.32845087,51.31420795,51.30019091,51.28658551,51.27348277,51.26097433,51.24898995,51.23734845
Armenia,ARM,51.81730723,51.73582461,51.65556619,51.57760168,51.50386666,51.43566094,51.37168184,51.31320023,51.2631073,51.22569062,51.20295818,51.19483746,51.19906402,51.21207765,51.22956287,51.24818551,51.26943922,51.29275313,51.31197874,51.31974706,51.31208588,51.28757192,51.25168457,51.21447839,51.18963304,51.18720838,51.20636248,51.24461644,51.30747087,51.40211731,51.53384637,51.71042057,51.9309171,52.17823616,52.42138051,52.63137446,52.79452486,52.91248455,52.98828349,53.03358347,53.05833306,53.0599675,53.03677419,53.00364023,52.9793066,52.97729619,53.00626948,53.06247155,53.13000518,53.18459164,53.20806141,53.19411959,53.15038039,53.09006475,53.03191214,52.98905269,52.96509337,52.95547491,52.95657715
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
