country_name,start_date,end_date
Albania,13/03/2020,01/06/2020
Algeria,23/03/2020,14/05/2020
Argentina,19/03/2020,28/06/2020
Armenia,24/03/2020,04/05/2020
Australia,23/03/2020,
Austria,16/03/2020,13/04/2020
Azerbaijan,31/03/2020,20/04/2020
Bangladesh,26/03/2020,16/05/2020
Barbados,28/03/2020,03/05/2020
Belgium,18/03/2020,04/05/2020
Bermuda,04/04/2020,02/05/2020
Bolivia,22/03/2020,15/04/2020
Botswana,02/04/2020,30/04/2020
Brazil,17/03/2020,10/05/2020
Colombia,25/03/2020,30/06/2020
Republic of the Congo,31/03/2020,20/04/2020
Costa Rica,23/03/2020,
Croatia,18/03/2020,19/04/2020
Czech Republic,16/03/2020,12/04/2020
Ecuador,16/03/2020,31/03/2020
El Salvador,12/03/2020,02/04/2020
Eritrea,02/04/2020,23/04/2020
Fiji,20/03/2020,17/04/2020
Finland,27/03/2020,16/04/2020
France,17/03/2020,11/05/2020
Georgia,31/03/2020,21/04/2020
Germany,23/03/2020,10/05/2020
Ghana,30/03/2020,12/04/2020
Greece,23/03/2020,04/05/2020
Guernsey,25/03/2020,
Honduras,20/03/2020,17/05/2020
Hungary,28/03/2020,10/04/2020
India,25/03/2020,30/06/2020
Iran,14/03/2020,20/04/2020
Iraq,22/03/2020,11/04/2020
Ireland,12/03/2020,18/05/2020
Israel,02/04/2020,
Italy,09/03/2020,18/05/2020
Jamaica,15/04/2020,22/04/2020
Jordan,18/03/2020,30/04/2020
Kosovo,14/03/2020,04/05/2020
Kuwait,14/03/2020,29/03/2020
Lebanon,15/03/2020,28/03/2020
Liberia,23/03/2020,11/04/2020
Libya,22/03/2020,
Lithuania,16/03/2020,27/04/2020
Madagascar,23/03/2020,20/04/2020
Madagascar,,
Malaysia,18/03/2020,09/06/2020
Mexico,23/03/2020,01/06/2020
Mongolia,10/03/2020,16/03/2020
Montenegro,24/03/2020,
Morocco,19/03/2020,10/06/2020
Namibia,27/03/2020,04/05/2020
Nepal,24/03/2020,14/06/2020
New Zealand,26/03/2020,14/05/2020
Nigeria,30/03/2020,12/04/2020
Northern Cyprus,30/03/2020,12/04/2020
Oman,10/04/2020,29/05/2020
Oman,16/04/2020,
Pakistan,24/03/2020,09/05/2020
Panama,25/03/2020,
Papua New Guinea,24/03/2020,07/04/2020
Paraguay,20/03/2020,03/05/2020
Peru,16/03/2020,30/06/2020
Philippines,27/03/2020,31/05/2020
Philippines,19/03/2020,15/05/2020
Poland,13/03/2020,11/04/2020
Portugal,19/03/2020,02/04/2020
Qatar,11/03/2020,
Romania,25/03/2020,12/05/2020
Russia,30/03/2020,12/05/2020
Rwanda,21/03/2020,19/04/2020
Samoa,26/03/2020,08/04/2020
San Marino,14/03/2020,05/05/2020
Saudi Arabia,09/03/2020,
Serbia,15/03/2020,04/05/2020
Singapore,07/04/2020,01/06/2020
South Africa,26/03/2020,30/04/2020
Spain,14/03/2020,09/05/2020
Sri Lanka,18/03/2020,26/05/2020
Thailand,25/03/2020,31/05/2020
Trinidad and Tobago,17/03/2020,31/03/2020
Tunisia,22/03/2020,19/04/2020
Turkey,23/04/2020,27/04/2020
Ukraine,17/03/2020,24/04/2020
United Arab Emirates,26/03/2020,17/04/2020
United Kingdom,23/03/2020,
United States,19/03/2020,
Venezuela,17/03/2020,13/05/2020
Vietnam,01/04/2020,22/04/2020
Zimbabwe,30/03/2020,02/05/2020
