Country,Population(millions),Heart disease Disability(DALYS lost per 1000 population),Heart disease Mortality(number of deaths),Stroke Disability(DALYS lost per 1000 population),Stroke Mortality(number of deaths),Rheumatic heart disease(number of deaths),Percentage of smokers men,Percentage of smokers women,Diabetes(percentage),Number of publications,Legal status of smoking,Country
Afghanistan,22930,36,33157,13,11532,1938,,,4.7,,unknown,Afghanistan
Albania,3141,13,3989,13,4169,42,46.2,22.8,4.5,,not regulated,Albania
Algeria,31266,7,14948,8,16223,756,40.2,11.5,2.6,1,unknown,Algeria
Andorra,69,3,67,3,52,3,49.6,35.9,8.8,,banned,Andorra
Angola,13184,13,7130,15,7640,615,,,0.9,,not regulated,Angola
Antigua and Barbuda,73,6,52,13,92,0,,,7.3,,unknown,Antigua and Barbuda
Argentina,37981,6,34292,6,22668,234,32.0,18.9,6.1,110,not regulated,Argentina
Armenia,3072,20,8515,10,4212,151,67.4,4.1,4.7,1,not regulated,Armenia
Australia,19544,5,25474,3,11730,243,30.7,23.1,6.8,710,restricted,Australia
Austria,8111,6,15418,4,7559,185,37.4,26.3,3.8,320,restricted,Austria
Azerbaijan,8297,28,22302,9,6540,184,32.0,1.7,6.8,1,banned,Azerbaijan
Bahamas,310,5,154,6,155,1,0.0,16.0,6.2,,unknown,Bahamas
Bahrain,709,8,283,3,84,6,29.5,0.0,9.1,4,unknown,Bahrain
Bangladesh,143809,18,130006,9,64515,10253,63.0,34.5,4.6,3,restricted,Bangladesh
Barbados,269,6,286,7,270,2,19.8,3.0,5.8,1,banned,Barbados
Belarus,9940,28,59719,14,22892,550,63.6,22.0,9.9,3,restricted,Belarus
Belgium,10296,5,14985,4,9234,68,33.2,22.9,4.0,345,restricted,Belgium
Belize,251,8,153,7,111,1,,,4.2,,restricted,Belize
Benin,6558,10,3017,12,3279,236,0.0,5.4,3.3,1,unknown,Benin
Bhutan,2190,20,2672,10,1370,195,,,3.5,,unknown,Bhutan
Bolivia,8645,6,3948,7,3138,70,36.7,19.2,4.9,,restricted,Bolivia
Bosnia and Herzegovina,4126,10,5590,13,6508,21,54.6,31.5,3.8,,banned,Bosnia and Herzegovina
Botswana,1770,8,697,8,670,15,,,3.6,,restricted,Botswana
Brazil,176257,9,139601,11,129172,3055,29.4,18.4,4.3,307,banned,Brazil
Brunei Darussalam,350,5,92,6,90,7,,,9.4,,banned,Brunei Darussalam
Bulgaria,7965,14,26243,13,20882,232,47.3,28.2,7.7,18,banned,Bulgaria
Burkina Faso,12624,11,5877,13,6604,466,25.6,13.2,2.7,2,not regulated,Burkina Faso
Burundi,6602,10,3084,12,3492,82,,,1.0,,not regulated,Burundi
Cambodia,13810,13,7635,11,5963,614,0.0,6.5,1.9,,restricted,Cambodia
Cameroon,15729,10,9443,12,10198,621,20.7,2.4,1.0,4,restricted,Cameroon
Canada,31271,5,43246,3,15621,422,30.0,26.6,8.8,1237,restricted,Canada
