country_name,alpha_3_code,km2,mi2,population,population_km2,population_mi2,date
Afghanistan,AFG,645807,249347,31575018,48.89,127,01/07/2018
Åland Islands,ALA,1552,599,29789,19.19,50,31/12/2018
Albania,ALB,28703,11082,2862427,99.73,258,01/01/2019
Algeria,DZA,2381741,919595,43000000,18.05,47,01/01/2019
American Samoa,ASM,197,76,57100,289.85,751,01/07/2020
Andorra,AND,464,179,76177,164.17,425,31/12/2018
Angola,AGO,1246700,481354,29250009,23.46,61,01/01/2018
Anguilla,AIA,96,37,13452,140.13,363,11/05/2011
Antigua and Barbuda,ATG,442,171,104084,235.48,610,01/07/2019
Argentina,ARG,2780400,1073518,44938712,16.16,42,01/07/2019
Armenia,ARM,29743,11484,2957500,99.44,258,30/09/2019
Aruba,ABW,180,69,112309,624,1616,01/01/2019
Australia,AUS,7692024,2969907,25735280,3,9,09/06/2020
Austria,AUT,83879,32386,8902600,106.14,275,01/01/2020
Azerbaijan,AZE,86600,33436,10067108,116.25,301,01/01/2020
Bahrain,BHR,778,300,1543300,1982.91,5136,01/07/2019
Bangladesh,BGD,143998,55598,168754488,1172,3035,09/06/2020
Barbados,BRB,430,166,287025,667.5,1729,01/07/2019
Belarus,BLR,207600,80155,9397800,45.59,118,01/04/2020
Belgium,BEL,30689,11849,11524454,375.52,973,01/01/2020
Belize,BLZ,22965,8867,398050,17.33,45,01/07/2018
Benin,BEN,112622,43484,11733059,104.18,270,01/07/2019
Bermuda,BMU,52,20,64027,1226.52,3177,01/07/2019
Bhutan,BTN,38394,14824,827136,21.54,55.8,09/06/2020
Bolivia,BOL,1098581,424164,11307314,10.29,27,01/07/2018
Bonaire,BES,288,111,18905,65.64,170,31/12/2014
Bosnia and Herzegovina,BIH,51209,19772,3511372,68.57,178,01/07/2016
Botswana,BWA,581730,224607,2302878,3.96,10.3,01/07/2018
Brazil,BRA,8515767,3287956,211636797,25,64,09/06/2020
British Indian Ocean Territory,IOT,151,58,32206,213.28,552,01/07/2019
Brunei,BRN,5765,2226,421300,73.08,189,01/07/2017
Bulgaria,BGR,111002,42858,7000039,63.06,163,31/12/2018
Burkina Faso,BFA,270764,104543,20244080,74.77,194,01/07/2018
Burundi,BDI,27816,10740,11215578,403.21,1044,01/07/2020
Cambodia,KHM,181035,69898,16289270,89.98,233,01/07/2019
Cameroon,CMR,466050,179943,24348251,52.24,135,01/07/2019
Canada,CAN,9984670,3855103,38058633,4,10,09/06/2020
Cayman Islands,CYM,259,100,65813,254.1,658,31/12/2018
Central African Republic,CAF,622436,240324,4737423,7.61,20,01/07/2018
Chad,TCD,1284000,495755,15353184,11.96,31,01/07/2018
Chile,CHL,756096,291930,17373831,22.98,60,31/08/2017
China,CHN,9640821,3722342,1403017520,146,377,09/06/2020
Christmas Island,CXR,137,53,2072,15.12,39,09/08/2011
Cocos (Keeling) Islands,CCK,14,5,544,38.86,101,09/08/2016
Colombia,COL,1141748,440831,46319000,41,105,09/06/2020
Comoros,COM,1861,719,873724,469.49,1216,01/07/2019
Costa Rica,CRI,51100,19730,5058007,98.98,256,30/06/2019
Croatia,HRV,56542,21831,4087843,72.3,187,01/07/2018
Cuba,CUB,109884,42426,11209628,102.01,264,31/12/2018
Curaçao,CUW,444,171,158665,357.35,926,01/01/2019
Cyprus,CYP,5896,2276,875900,148.56,385,31/12/2018
Czechia,CZE,78867,30451,10681161,135.43,351,30/09/2019
Democratic Republic of the Congo,COD,2345095,905446,86790567,37.01,96,01/07/2019
Denmark,DNK,43098,16640,5814461,134.91,349,01/07/2019
Djibouti,DJI,23000,8880,1078373,46.89,121,01/07/2019
Dominica,DMA,739,285,71808,97.17,252,01/07/2019
Dominican Republic,DOM,47875,18485,10358320,216.36,560,01/07/2019
Ecuador,ECU,276841,106889,17502692,63,164,09/06/2020
Egypt,EGY,1002450,387048,100478319,100,260,09/06/2020
El Salvador,SLV,21040,8124,6704864,318.67,825,01/07/2019
Equatorial Guinea,GNQ,28051,10831,1358276,48.42,125,01/07/2018
Eritrea,ERI,121100,46757,3497117,28.88,75,01/07/2019
Estonia,EST,45339,17505,1324820,29.22,76,01/01/2019
Eswatini,SWZ,17364,6704,1159250,66.76,173,01/07/2018
Ethiopia,ETH,1063652,410678,107534882,101.1,262,01/07/2018
Falkland Islands (the) [Malvinas],FLK,12173,4700,2563,0.21,0.54,15/04/2012
Faroe Islands,FRO,1399,540,50844,34.48,89,01/05/2018
Fiji,FJI,18333,7078,884887,48.27,125,17/09/2017
Finland,FIN,338424,130666,5527405,16.33,42,20/12/2019
France,FRA,543965,210026,67060000,123.28,319,01/12/2019
French Guiana,GUF,86504,33399,244118,2.82,7.3,01/07/2013
French Polynesia,PYF,3521,1359,280600,79.69,206,01/07/2020
Gabon,GAB,267667,103347,2067561,7.72,20,01/07/2018
Gambia,GMB,10690,4127,2228075,208.43,540,01/07/2019
Georgia,GEO,69700,26911,3729600,53.51,139,01/01/2018
Germany,DEU,357168,137903,83149300,232.8,603,30/09/2019
Ghana,GHA,238533,92098,30280811,126.95,329,01/07/2019
Gibraltar,GIB,6.8,2.6,33701,4956.03,12836,01/07/2019
Greece,GRC,131957,50949,10724599,81.27,210,01/01/2019
Greenland,GRL,2166000,836297,55877,0.03,0.08,01/01/2018
Grenada,GRD,344,133,108825,316.35,819,01/07/2019
Guadeloupe,GLP,1628.4,629,395725,243.01,629,01/01/2016
Guam,GUM,541,209,175200,323.84,839,01/07/2019
Guatemala,GTM,108889,42042,17679735,162.36,421,01/07/2019
Guernsey,GGY,78,30,62723,804.14,2083,31/03/2016
Guinea,GIN,245857,94926,12218357,49.7,129,01/07/2019
Guinea-Bissau,GNB,36125,13948,1604528,44.42,115,01/07/2019
Guyana,GUY,214999,83012,782225,3.64,9.4,01/07/2018
Haiti,HTI,27065,10450,11263077,416.15,1078,01/07/2019
Honduras,HND,112492,43433,9158345,81.41,211,01/07/2019
Hong Kong,HKG,1106,427,7500700,6781.83,17565,31/12/2019
Hungary,HUN,93029,35919,9764000,104.96,272,01/01/2019
Iceland,ISL,102775,39682,366130,3.56,9.2,31/03/2020
India,IND,3287263,1269219,1352642280,411.48,1066,01/01/2019
Indonesia,IDN,1904569,735358,268074600,140.75,365,01/07/2019
Iran,IRN,1648195,636372,83516581,51,131,09/06/2020
Iraq,IRQ,438317,169235,39309783,89.68,232,01/07/2019
Ireland,IRL,70273,27133,4921500,70.03,181,01/04/2019
Isle of Man,IMN,572,221,83314,145.65,377,24/04/2016
